Filme,País,Ano,Tempo,Meu_Rating,Outlier_t,Genero,Animação,Rating_Geral
Os Dez Mandamentos: O Filme,BRA,2016,120,0.5,0,Drama,0,2.5
Zootopia,USA,2016,109,4,0,Comédia,1,3.7
Alice Through the Looking Glass,GBR,2016,113,2,0,Fantasia,0,2.7
Procurando Dory,USA,2016,97,3.5,0,Aventura,1,3.3
The Secret Life of Pets,USA,2016,86,2,0,Aventura,1,2.8
Sadako vs. Kayako,JPN,2016,98,3,0,Terror,0,2.6
The 5th Wave,USA,2016,112,1,0,Ação,0,2.2
Era do Gelo 5,USA,2016,95,1,0,Comédia,1,2.2
Meine Brüder und Schwestern im Norden,PRK,2016,109,5,0,Documentário,0,3.9
Moonlight,USA,2016,111,4.5,0,Drama,0,4.2
Denial,GBR,2016,109,3,0,História,0,3.4
Inferno,USA,2016,121,4,0,Mistério,0,2.6
Moana,USA,2016,107,4,0,Aventura,1,3.7
Fantastic Beasts and Where to Find Them,GBR,2016,132,2,0,Aventura,0,3.1
Rogue One: A Star Wars Story,USA,2016,133,4.5,0,Sci-fi,0,3.7
Minha Mãe é uma Peça 2: O Filme,BRA,2016,96,NA,0,Comédia,0,3.5
The Beast,ZAF,2016,18,5,1,Drama,0,3.6
Get Out,USA,2017,104,5,0,Terror,0,4.2
The Lego Batman Movie,AUS,2017,104,4,0,Comédia,1,3.8
Beauty and the Beast,USA,2017,129,3.5,0,Romance,0,3.1
Genderbende,NLD,2017,55,4,0,Documentário,0,NA
The Death of Stalin,GBR,2017,107,2,0,História,0,3.8
Star Wars: The Last Jedi,USA,2017,152,3,0,Sci-fi,0,3
John Wick: Chapter 2,USA,2017,122,5,0,Ação,0,3.7
Meu Malvado Favorito 3,USA,2017,90,1.5,0,Ação,1,2.6
Wiñaypacha,PER,2017,90,5,0,Drama,0,4.0
Hereditary,USA,2018,128,4.5,0,Terror,0,4
Je ne suis pas un homme facile,FRA,2018,98,1,0,Comédia,0,3.1
Familia sumergida,ARG,2018,91,2.5,0,Drama,0,3.3
Solo: A Star Wars Story,USA,2018,135,2,0,Sci-fi,0,2.9
Os Incríveis 2,USA,2018,118,4,0,Ação,1,3.4
Skyscraper,CAN,2018,102,3,0,Ação,0,2.3
Suspiria,USA,2018,102,4,0,Mistério,0,3.7
Johnny English Strikes Again,GBR,2018,88,3,0,Comédia,0,2.8
Ralph Breaks the Internet,GBR,2018,112,3.5,0,Comédia,1,2.9
Fantastic Beasts: The Crimes of Grindelwald,GBR,2018,134,1.5,0,Fantasia,0,2.6
Spider-Man: Into the Spider-Verse,USA,2018,117,5,0,Aventura,1,4.4
Como Treinar o Seu Dragão 3,USA,2018,104,4,0,Aventura,1,3.7
The Nun,USA,2018,96,2.5,0,Terror,0,2.2
Judith Hotel,FRA,2018,16,4.5,1,Fantasia,0,3.6
Fyre,USA,2019,98,3.5,0,Documentário,0,3.3
Steven Universe: The Movie,USA,2019,82,4,0,Fantasia,1,3.7
Joker,USA,2019,122,4,0,Crime,0,3.8
O Poço,ESP,2019,95,3,0,Thriller,0,3.3
Sound of Metal,USA,2019,120,4,0,Drama,0,4.2
El Camino: A Breaking Bad Movie,USA,2019,123,4.5,0,Drama,0,3.6
Frozen II,USA,2019,103,3,0,Aventura,1,3.1
The Lighthouse,USA,2019,109,5,0,Thriller,0,4
Jumanji: Welcome to the Jungle,USA,2017,119,2.5,0,Aventura,0,3.1
Little Women,USA,2019,135,5,0,História,0,4.2
Parasite,KOR,2019,133,4.5,0,Thriller,0,4.6
John Wick: Chapter 3 – Parabellum,USA,2019,131,5,0,Ação,0,3.7
Star Wars: The Rise of Skywalker,USA,2019,142,0.5,0,Ação,0,2.3
Democracia em Vertigem,BRA,2019,121,3.5,0,Documentário,0,3.7
"Extremely Wicked, Shockingly Evil and Vile",USA,2019,111,2,0,Crime,0,3.1
Vaga Carne,BRA,2019,46,3.5,1,Fantasia,0,3.8
Enola Holmes,USA,2020,123,3.5,0,Mistério,0,3.1
Heaven Reaches Down to Earth,ZAF,2020,10,4,1,Drama,0,3.4
Soul,USA,2020,101,3,0,Comédia,1,3.9
"Good Thanks, You?",GBR,2020,13,3.5,1,Drama,0,3.5
Cruella,USA,2021,134,4,0,Comédia,0,3.5
Bo Burnham: Inside,USA,2021,87,5,0,Comédia,0,4.2
Luca,USA,2021,95,4.5,0,Aventura,1,3.7
Black Widow,USA,2021,134,2.5,0,Ação,0,2.9
Judas and the Black Messiah,USA,2021,126,5,0,História,0,4
"Woodstock 99: Peace, Love, and Rage",USA,2021,110,4.5,0,Documentário,0,3.4
Encanto,USA,2021,102,4,0,Comédia,1,3.5
The Matrix Resurrections,USA,2021,147,1,0,Ação,0,2.7
Le censeur des rêves,FRA,2021,18,4,1,Terror,0,3.7
The Fish with One Sleeve,JPN,2021,34,4.5,1,Drama,0,3.5
The Batman,USA,2022,177,5,0,Crime,0,4
Metal Lords,USA,2022,97,3,0,Comédia,0,2.7
Skinamarink,CAN,2022,100,2.5,0,Terror,0,2.9
The Woman King,CAN,2022,135,4,0,História,0,3.7
Enola Holmes 2,USA,2022,131,4,0,Mistério,0,3.3
Avatar: The Way of Water,USA,2022,192,4,0,Aventura,0,3.6
Puss in Boots: The Last Wish,USA,2022,103,4,0,Aventura,1,4.1
Grand Paris,FRA,2022,72,3,0,Comédia,0,3.3
Vanskabte land,ISL,2022,143,4.5,0,Drama,0,3.8
John Wick: Chapter 4,USA,2023,170,5,0,Ação,0,3.9
Dungeons & Dragons: Honor Among Thieves,CAN,2023,134,4,0,Fantasia,0,3.5
Spider-Man: Across the Spider-Verse,USA,2023,140,4,0,Aventura,1,4.4
Nimona,GBR,2023,99,5,0,Fantasia,1,3.9
Barbie,USA,2023,114,3,0,Comédia,0,3.8
Oppenheimer,USA,2023,181,2.5,0,História,0,4.2
"Red, White & Royal Blue",USA,2023,121,4,0,Romance,0,3.2
Saltburn,GBR,2023,131,3.5,0,Drama,0,3.4
La sociedad de la nieve,URY,2023,144,4.5,0,Drama,0,4.1
The Zone of Interest,POL,2023,105,1.5,0,Drama,0,3.9
Balladen,SWE,2023,14,3.5,1,Comédia,0,NA
Krížom krážom,CSK,2023,8,4.5,1,Fantasia,1,NA
Twice Colonized,CAN,2023,92,3,0,Documentário,0,3.4
The Super Mario Bros. Movie,USA,2023,93,3,0,Comédia,1,3.3
المفتاح,PSE,2023,18,4.5,1,Drama,0,NA
I Saw The TV Glow,USA,2024,100,4,0,Drama,0,3.5
Divertida Mente 2,USA,2024,97,4,0,Comédia,0,3.7
Abigail,USA,2024,109,3,0,Terror,0,3.1
The Substance,GBR,2024,141,4.5,0,Terror,0,3.9
The Wild Robot,USA,2024,102,3.5,0,Sci-fi,1,4.3
Le Cas d’Hervé c’qui ?,BEL,2024,6,2.5,1,Fantasia,1,NA
Longlegs,USA,2024,101,2,0,Terror,0,3.4
Ainda Estou Aqui,BRA,2024,137,4,0,Drama,0,4.3
