Filme,País,Ano,Tempo,Meu_Rating,Outlier_t,Genero,Animação,Rating_Geral
Back to the Future,USA,1985,116,5,0,Sci-fi,0,4.2
Oberst Redl,HUN,1985,132,3,0,História,0,3.7
The Name of the Rose,FRA,1986,130,4,0,Mistério,0,3.7
Coming to America,USA,1988,117,NA,0,Comédia,0,3.5
Ilha das Flores,BRA,1989,13,5,1,Documentário,0,4.2
Indiana Jones and the Last Crusade,USA,1989,127,5,0,Aventura,0,4.1
Dead Poets Society,USA,1989,128,4,0,Drama,0,4.3
The Little Mermaid,USA,1989,83,4,0,Fantasia,1,3.7
Undergångens arkitektur,SWE,1989,119,NA,0,Documentário,0,3.8
Back to the Future Part II,USA,1989,108,5,0,Sci-fi,0,3.9
Back to the Future Part III,USA,1990,119,4,0,Sci-fi,0,3.5
GoodFellas,USA,1990,145,4,0,Crime,0,4.5
Szürkület,HUN,1990,95,3,0,Drama,0,3.9
Bernardo e Bianca na Cangurulândia,USA,1990,77,3,0,Aventura,1,3.2
A Bela e a Fera,USA,1991,84,4,0,Romance,1,3.9
The Addams Family,USA,1991,100,5,0,Comédia,0,3.7
Aladdin,USA,1992,95,4.5,0,Aventura,1,3.9
"Hail, Sarajevo",FRA,1993,2,4.5,1,Guerra,0,4.1
The Nightmare Before Christmas,USA,1993,76,4,0,Fantasia,1,4
Groundhog Day,USA,1993,101,3.5,0,Comédia,0,3.8
Hocus Pocus,USA,1993,96,3.5,0,Fantasia,0,3.5
Addams Family Values,USA,1993,94,4.5,0,Comédia,0,3.8
Ace Ventura: Pet Detective,USA,1994,86,1,0,Comédia,0,3.2
Forrest Gump,USA,1994,142,5,0,Drama,0,4.1
White Men Are Cracking Up,GBR,1994,20,4,1,Crime,0,3.6
The Mask,USA,1994,101,3,0,Comédia,0,3.3
A Goofy Movie,USA,1995,78,5,0,Aventura,1,3.6
Pocahontas,USA,1995,81,3,0,Romance,1,3.2
Se7en,USA,1995,127,5,0,Crime,0,4.3
Toy Story,USA,1995,81,4.5,0,Comédia,1,4.1
Jumanji,USA,1995,104,3.5,0,Fantasia,0,3.6
Terra Estrangeira,BRA,1995,110,5,0,Drama,0,3.9
Trainspotting,GBR,1996,94,5,0,Drama,0,4.2
O Corcunda de Notre Dame,USA,1996,91,5,0,Drama,1,3.7
Matilda,USA,1996,98,5,0,Comédia,0,3.7
Scream,USA,1996,112,4,0,Terror,0,4
Anastasia,USA,1997,94,3.5,0,Fantasia,1,3.8
Hercules,USA,1997,93,4.5,0,Aventura,1,3.8
Men in Black,USA,1997,98,4.5,0,Comédia,0,3.7
Bean,GBR,1997,89,4,0,Comédia,0,3.2
Perfect Blue,JPN,1997,82,4.5,0,Thriller,1,4.4
Titanic,USA,1997,194,3.5,0,Drama,0,3.8
Cure,JPN,1997,111,5,0,Thriller,0,4.3
Pocahontas II: Journey to a New World,USA,1998,72,2.5,0,Romance,1,2
The Truman Show,USA,1998,103,4,0,Comédia,0,4.2
Mulan,USA,1998,88,5,0,Aventura,1,4.1
Vida de Inseto,USA,1998,95,3.5,0,Comédia,1,3.5
Central do Brasil,BRA,1998,113,4.5,0,Drama,0,4.3
The Matrix,USA,1999,136,5,0,Sci-fi,0,4.2
The Phantom Menace,USA,1999,136,4,0,Sci-fi,0,2.9
Inherit the Wind,USA,1999,113,3,0,Drama,0,3.4
Clube da Luta,USA,1999,139,5,0,Drama,0,4.3
But I’m a Cheerleader,USA,1999,85,4.5,0,Romance,0,4
"Girl, Interrupted",USA,1999,127,4,0,Drama,0,3.9
Tarzan,USA,1999,88,NA,0,Aventura,1,3.7
Toy Story 2,USA,1999,92,4.5,0,Comédia,1,3.9
American Psycho,USA,2000,102,4,0,Crime,0,3.8
Náufrago,USA,2000,143,4,0,Drama,0,3.9
Memento,USA,2000,113,4,0,Mistério,0,4.2
The Emperor’s New Groove,USA,2000,78,4.5,0,Comédia,1,3.9
Shrek,USA,2001,90,5,0,Aventura,1,4.1
Legally Blonde,USA,2001,96,4,0,Romance,0,3.8
